org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,damian dwyer,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,julie hood,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,jennifer lee,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,mark mccallum,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,meg roberts,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,cath sutton,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,don sanders,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,richard ellis,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,steven gerhardy,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,tim mcgrath,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,jason medd,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,michelle thomas,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,colin beckett,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,peter hood,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,robin antrobus,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,bob coppin,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,jim durrant,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,john ellice-flint,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,chris gunner,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,ray james,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,grant king,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,david knox,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,reg nelson,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,mark nolan,members,person,unconvinced of agw,,,,,usa,own_page
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,vic state chair,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,philip byrne,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,andrew young,members,person,,,,,,,
australian petroleum production and exploration association,unconvinced of agw,australia,oceania,tim wall,members,person,,,,,,,
australian tea party,unconvinced of agw,australia,oceania,david goodridge,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,roger partridge,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,roger kerr,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,nick calavrias,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,bill gallagher,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,matthew cockram,members,person,,,,,,,
new zealand business roundtable,unconvinced of agw,new zealand,oceania,simon hull,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,timothy andrews,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,alex robson,members,person,unconvinced of agw,,,,,,
australian taxpayer alliance,,australia,oceania,grace collier,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,tom switzer,members,person,unconvinced of agw,,,,,,
australian taxpayer alliance,,australia,oceania,julian leeser,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,ron manners,members,person,unconvinced of agw,,,,,,
australian taxpayer alliance,,australia,oceania,ken phillips,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,michael keane,members,person,,,,,,,
australian taxpayer alliance,,australia,oceania,john humphreys,members,person,unconvinced of agw,,,,,,
australian taxpayer alliance,,australia,oceania,patrick michaels,members,person,unconvinced of agw,,,,,,
consumers taxpayers association,,australia,oceania,stop gillards,lobbying,person,,,,,,,
consumers taxpayers association,,australia,oceania,jacques laxale,members,person,,,,,,,
accuracy in academia,unconvinced of agw,usa,north america,malcolm a. kline,members,person,unconvinced of agw,,,,,,
accuracy in media,unconvinced of agw,usa,north america,don irvine,members,person,,,,,,,
accuracy in media,unconvinced of agw,usa,north america,roger aronoff,members,person,unconvinced of agw,,,,,,
accuracy in media,unconvinced of agw,usa,north america,cliff kincaid,members,person,convinced of agw,,,,,,
accuracy in media,unconvinced of agw,usa,north america,deborah lambert,members,person,,,,,,,
accuracy in media,unconvinced of agw,usa,north america,heidi barnes,members,person,,,,,,,
accuracy in media,unconvinced of agw,usa,north america,amaya,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,peter ferrara,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,susan a. carleson,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,edwin meese iii,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,morton c. blackwell,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,david a. leedom,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,wendy borcherdt leroy,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,robert h. knight,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,richard bender abell,members,person,,,,,,,
american civil rights union,unconvinced of agw,usa,north america,william bradford reynolds,members,person,,,,,,,
